Posición,Jinete,Caballo,Puntos,Tiempo
1,Richard Vogel,Diatasio,0,56.54
2,Eduardo Pereira De Menezes,Excellent Sunshine Z,0,60.21
3,Sean Monaghan,Champagne BW,0,60.27
4,Michael Duffy,Gallahad,0,60.51
5,Petronella Andersson,Ayala de La Pomme Z,0,61.84
6,Camila Mazza De Benedicto,Cailin vh Exelhof Z,0,61.85
7,Olivier Philippaerts,Great Lady Rv Z,0,62.33
8,Kendra Claricia Brinkop,Abercrombie Pommex Z,0,62.39
9,Oleksandr Prodan,Jailbreak d'Argance,0,63.04
10,Evelyne Putters,Simply The Best X,0,63.63
11,Anthony Philippaerts,Sire DC,0,64.28
12,Jenny Krogsaeter,Oakley DN,0,64.95
13,Alexis Lheureux,Mata Hari du Seigneur,0,65.31
14,Daniel Deusser,Silence Dwerse Hagen,0,65.68
15,Maikel van der Vleuten,Santos de Walput,0,67.40
16,Cian O'Connor,Karlswood,0,67.68
17,Harry Allen,Marthe d'Ecaussinnes,0,67.88
18,Roberto Mendonça Dias,Jackpot du Rouet,0,68.35
19,Marlon Modolo Zanotelli,Odinent,0,69.03
20,Caroline Devos-Poels,Chadli de Bo Z,0,69.47
21,Angelica Augustsson Zanotelli,Snowball,0,69.59
22,Kim Emmen,No Limit,0,69.63
23,Neri Pieraccini,Mr Elvis-K Van Kattenheye Z,0,70.31
24,Frederic Vernaet,T' Sterre Vd Goevelhoeve Z,0,71.05
25,Jeroen de Winter,Jaika de Talma,0,72.00
26,Ivan Dalton,Odilon van den Hoogeweg,0,72.44
27,Gregory Wathelet,Justinien de Vains,4,61.98
28,Niels Bruynseels,Vintage,4,62.53
29,Emilie Conter,Domperignon Pommex Z,4,63.51
30,Felipe Amaral,Ega van de Hoek Z,4,63.98
31,Mike van Olst,Emir Z,4,64.02
32,Janika Sprunger,Jeasy de La Mure,4,64.23
33,Christian Ahlmann,Glaucus Z,4,65.33
34,Koen Vereecke,Valentino Boy,4,66.00
35,Jérôme Guery,Candy Prince de Leonte,4,66.01
36,Steve Guerdat,Indigene Litzelfeld,4,66.21
37,Lorenzo de Luca,Queelan,4,66.50
38,Pieter Devos,Alice de Poteau Z,4,66.56
39,Emma Sophia Spanko,Nikita GB,4,66.72
40,Zoe Hank Conter,Sirius de W&S,4,66.96
41,Mathieu Guery,I'M Special Van'T Beaukeshof Z,4,67.35
42,Bruno Martins Costa,Jostakin'KA,4,67.70
43,Yves Vanderhasselt,Madness Vitseroel Z,4,68.20
44,Jeanne Sadran,Hejunny Girl Van Beek Z,4,68.53
45,Gilles Thomas,The Lewis van het Heidehof,4,68.90
46,Annelies Vorsselmans,Domichella Z,4,69.65
47,Viktor Daem,Top Gun,4,71.15
48,Thibeau Spits,Sissi Star D' Augustijn,8,63.00
49,Guilherme Mattar,Pocahontas,8,68.47
50,Jos Verlooy,Tinder Vd Withoeve,8,71.68
51,Sofia Westborg,Siska van de Helle,8,72.33
52,Odile Gierech,Kiwi Colada Van Paemel Z,12,67.16
53,Alberto Zorzi,Emerald Blue R.S.,12,69.07
54,Alix Ragot,June Dor,12,69.45
55,Hilary Scott,Oaks Evita,16,70.81
56,Seppe Wouters,Topgun-K Van Kattenheye,18,79.58
57,Emma Bodier,Jepsilon Mouche,29,90.42
,Simon Delestre,Special Edition de Muze,EL,
