Posición,Jinete,Caballo,Puntos,Tiempo,Puntos desempate,Tiempo desempate,Total
1,Richard Vogel,Gangster Montdesir,0,78.94,0,42.34,0
2,Eduardo Pereira De Menezes,H5 Londontime,0,79.15,0,42.85,0
3,Daniel Deusser,Pepita Van T Meulenhof BR,4,77.72,0,43.01,4
4,Simon Delestre,Gatsby du Tillard,0,81.56,4,46.61,4
5,Frederic Vernaet,Orak d'Hamwyck T&L,0,79.72,4,46.66,4
6,Giampiero Garofalo,Querido Van'T Ruytershof,1,82.49,4,50.11,5
7,Nina Mallevaey,Destine To BE,4,78.90,4,44.22,8
8,Julien Epaillard,Fringan de Vesquerie,4,78.27,4,44.78,8
9,Denis Lynch,Vistogrand,4,79.21,4,45.57,8
10,Billy Twomey,Ace Of Hearts Z,0,80.76,8,45.63,8
11,Lara Tryba,Shot Gun,1,82.89,10,54.63,11
12,Max Kühner,Eic Cooley Jump The Q,4,78.69,8,47.71,12
13,Kevin Staut,Exquis RB,4,79.48,,,
14,Martin Fuchs,Lorde,4,79.77,,,
15,Kristen Vanderveen,Bull Run's Jireh,4,79.96,,,
16,Annelies Vorsselmans,Trezeguet,4,80.58,,,
17,Jérôme Guery,Quito de Mariposa,4,80.60,,,
18,Kendra Claricia Brinkop,Replay Van 'T Paradijs,4,80.72,,,
19,Piergiorgio Bucci,Pallieter Vd N.Ranch,4,80.73,,,
20,Pieter Devos,Primo DV,4,81.07,,,
21,Ben Maher,Maddox vh Haringvliet Z,4,81.54,,,
22,Stephan de Freitas Barcha,Dinozo Imperio Egipcio,4,81.67,,,
23,Niels Bruynseels,Oaky Flandria,4,81.82,,,
24,Christian Ahlmann,Sheeran WL,4,81.89,,,
25,Carlos Hank Guerreiro,H5 Origi Horta,6,83.56,,,
26,Marlon Modolo Zanotelli,Dorette Old,8,77.50,,,
27,Cian O'Connor,Kentucky TN,8,80.52,,,
28,Stephanie Macieira,Novak de Kalvarie,8,80.58,,,
29,Steve Guerdat,Lancelotta,8,80.67,,,
30,Jeanne Sadran,Dexter de Kerglenn,8,81.20,,,
31,Abdulrahman Alrajhi,Lorenzo ES,8,81.59,,,
32,Olivier Philippaerts,Hipster SV,8,81.64,,,
33,Hilary Scott,Lola,9,82.14,,,
34,Antoine Ermann,Jiamo Vds,10,83.35,,,
35,Roger Yves Bost,Go To Hickstead MF,11,84.70,,,
36,Petronella Andersson,Odina Van Klapscheut,12,79.94,,,
37,Gabriel de Matos Machado,Legaland Sandro,12,80.63,,,
38,Rodrigo Pessoa,Prins Van 'T Eigenlo,12,80.85,,,
39,Mike van Olst,Comme Elle Faut Odth Z,12,81.38,,,
40,Zoe Hank Conter,H5 Chaccophanie,12,81.96,,,
41,Gilles Thomas,Riesling Van T Roosakker,13,82.94,,,
42,Henrik Von Eckermann,Qasirah van de Reistenhoek,20,79.25,,,
43,Sean Monaghan,Chef Of Flanders Fields Z,20,81.29,,,
44,Marco Antonio Peixoto Ferreira Filho,Everest V'T Hof V Eversem Z,21,82.21,,,
45,Maikel van der Vleuten,Quastor Vd Heffinck,25,94.07,,,
,Emilie Conter,Portobella van de Fruitkorf,EL,,,,
,Andres Azcarraga,Contendros 2,RET,,,,
