Posición,Atleta,Caballo,Premio,Puntos,Tiempo,Puntos Desempate,Tiempo Desempate,Total
1,Sanne Thijssen,Con Quidam RB,66000,0,75.39,0,48.78,0
2,Luciana Diniz,Vertigo du Desert,40000,0,78.72,0,49.20,0
3,Henk van de Pol,B Captain Norman,30000,0,81.59,0,52.62,0
4,Bertram Allen,Caprisco,20000,0,80.22,4,48.89,4
5,Jesus Garmendia Echevarria,Callias,12000,0,79.92,4,49.15,4
6,Jack Whitaker,Equine America Valmy de La Lande,9000,0,80.24,4,49.16,4
7,Harry Allen,Calculatus,6000,4,78.63,0,49.32,4
8,William Fletcher,Iwalinde,5000,4,78.17,0,49.38,4
9,Emeric George,Dune du RU,4000,4,80.56,0,49.95,4
10,Stanislas de Malet,Zambo M Z,4000,4,77.06,4,52.26,8
11,Hannah Åkerblom,Chodec,2000,0,80.62,8,52.92,8
12,Rikke Belinda Barker,Tabalou PS,2000,0,80.96,RET,,
13,Duarte Seabra,Dourados 2,,4,80.84,,,
14,Imma Roquet Autonell,Ivettus Del Maset,,4,80.88,,,
15,Finn Boerekamp,Parfait Vd Bisschop,,4,81.21,,,
16,Alex Codina Leria,Notis,,4,81.57,,,
17,Robert Whitaker,Vermento,,4,81.91,,,
18,Álvaro González De Zarate,Najac vh Kluizebos,,8,76.87,,,
18,Abdullah Alsharbatly,Ermindo W,,8,76.87,,,
20,Jose Bono Rodriguez,Ali Baba HT,,8,77.12,,,
21,Constant van Paesschen,Diaz du Thot,,8,79.34,,,
22,Pello Elorduy Ibarzabal,Flonflon,,8,80.35,,,
23,Julio Arias Cueva,Peanuts Van Baublo,,8,80.41,,,
24,Sira Martinez Cullell,Texas,,8,80.94,,,
25,Deirdre Reilly,Kafka Vd Heffinck,,8,81.63,,,
26,Santiago Nuñez Riva,Chakira Z,,9,82.43,,,
27,Nicolas Deseuzes,Falco du Loing,,12,77.76,,,
28,Joe Fernyhough,Calcourt Particle,,14,83.25,,,
29,Ana Carolina Sandoval Muñoz,My Lord's Way,,14,87.54,,,
30,Jules Orsolini,Charlotte 198,,16,81.47,,,
31,Carolina Aresu,Effixe du Melnire,,20,85.06,,,
32,Carolina Villanueva Suarez,Levisto,,24,80.95,,,
,James Arkins,Rosthwaite Cover Girl,,EL,,,,
,Santiago Lambre,Corina Blue,,RET,,,,
,Mans Thijssen,Joviality,,RET,,,,
,Luca Maria Moneta,Jolie Coeur d'Avril,,RET,,,,
,Rodrigo Giesteira Almeida,Karonia.L,,RET,,,,
,Derin Demirsoy,O-Kannarock,,RET,,,,
,Pedro Veniss,Nimrod de Muze Imperio Egipcio,,RET,,,,
,Billy Twomey,Ace Of Hearts Z,,RET,,,,
,Laura Renwick,Enjoy Ck Z,,RET,,,,
