Posición,Atleta,Caballo,Premio,Fase I Puntos,Fase I Tiempo,Puntos Desempate,Tiempo Desempate,Total
1,Duarte Seabra,Fernhill Balou Beau,9339,0,68.47,0,47.10,0
2,Abdullah Alsharbatly,Atome des Etisses,5660,0,67.52,0,47.62,0
3,Emeric George,Gloria Mercoeur,4245,0,69.89,0,48.05,0
4,Henk van de Pol,Only You de Kaluri,2830,0,69.32,4,48.23,4
5,Harry Allen,Kazelli VDL,1698,0,70.01,8,52.65,8
6,Ines Hernández Yanguas,Nemo de Porceyo,"1273,5",0,70.88,8,53.86,8
7,Rikke Belinda Barker,Empire Sbk Z,849,1,71.19,,,
8,Álvaro González De Zarate,Ebane du Mesnil,"707,5",2,72.07,,,
9,Santiago Lambre,Chacco Blue II,566,2,73.00,,,
10,Finn Boerekamp,Kensington W,566,3,73.01,,,
11,Guy Jonqueres D'Oriola,Aristo du Loir,283,4,67.40,,,
12,Elena Appendino,Pompei van de Fruitkorf,283,4,68.18,,,
13,Jules Orsolini,Quaprice de Trebox,283,4,68.29,,,
14,Joe Fernyhough,Calcourt Countdown,,4,68.39,,,
15,Alex Codina Leria,London Blue,,4,68.50,,,
16,Leticia Riva Gil,Cadum de Champloue,,4,68.55,,,
17,Roi Calviño Rabon,Enjoy,,4,68.69,,,
18,Jack Whitaker,Karamel de Mauretus Z,,4,68.79,,,
19,Laura Roquet Puignero,Cricket,,4,68.82,,,
20,Castora Ortiz Agüera,Robinson,,4,69.94,,,
21,Bertram Allen,Obsession DV,,4,69.96,,,
22,Rodrigo Giesteira Almeida,Sambuca,,4,70.07,,,
23,Julio Arias Cueva,Filou du Manoir,,4,70.12,,,
24,Imma Roquet Autonell,Elba Del Maset,,6,72.92,,,
25,Alvaro Diaz Garcia,C-Star V/D Schelpenhoeve Z,,7,73.62,,,
26,Juan Riva Gil,Victoria d'Argent,,8,67.72,,,
27,Sanne Thijssen,Chiara Vdh,,8,68.25,,,
28,Luis Ortiz Agüera,Hvedholms Cashew,,8,68.94,,,
29,Derin Demirsoy,Hunter,,8,69.61,,,
30,Jesus Garmendia Echevarria,Valut 2,,8,69.88,,,
31,Mans Thijssen,Chio Z,,8,70.43,,,
32,James Arkins,Nightshade,,8,70.66,,,
33,Alfons Roquet Puignero,Sandro Eclipse,,9,71.44,,,
34,Kara Chad,Corinna Z,,10,72.13,,,
35,Rachel Mcmullen,Italy Hdh,,10,72.73,,,
36,Constant van Paesschen,Just Too Late d'Hof-Ten-Bos,,10,72.76,,,
37,Agusti Sastre Caballero,Night Star,,12,74.63,,,
38,Deirdre Reilly,Pollin Van Zarrenlinde,,14,76.90,,,
39,Alejandro Fernandez Sanchez,Too Action de Buzalen,,15,73.53,,,
40,Mario Peña Sanchez,Be Mylord de Glain,,16,70.30,,,
41,Pablo Santiago Artime,Tanka du Marais,,16,74.78,,,
42,Pedro Veniss,Cs Hortencia,,18,76.61,,,
,Laura Renwick,Nfs Angelina,,RET,,,,
,Carolina Villanueva Suarez,Voice de Chenaie,,RET,,,,
,Cayetano Martinez De Irujo,Dito,,EL,,,,
,Gerardo Menendez Mieres,Coralou du Rouet PS,,RET,,,,
,Mafalda Costa Marques,Iniesta P.,,RET,,,,
,Nicolas Deseuzes,Drugster des Forets,,RET,,,,
,Leon Thijssen,Looking For You,,RET,,,,
,William Fletcher,Persimmon,,RET,,,,
,Luca Maria Moneta,El Capone RK,,RET,,,,
