Posición,Jinete,Caballo,Premio (€),Fase I Puntos,Fase I Tiempo,Fase II Puntos,Fase II Tiempo,Total
1,Abdullah Alsharbatly,Extra Strong,1650,0,42.64,0,31.31,0
2,Joe Fernyhough,Calcourt Countdown,1000,0,41.57,0,33.23,0
3,Luis Ortiz Agüera,Hvedholms Cashew,750,0,41.94,0,33.84,0
4,Julio Arias Cueva,Filou du Manoir,500,0,42.59,0,34.63,0
5,Laura Roquet Puignero,Cricket,300,0,43.26,0,34.98,0
6,William Fletcher,Persimmon,225,0,43.90,0,35.24,0
7,Guy Jonqueres D’Oriola,Aristo du Loir,150,0,42.65,0,35.53,0
8,Ines Hernández Yanguas,Nemo de Porceyo,125,0,43.67,0,36.84,0
9,Finn Boerekamp,Kensington W,100,0,46.95,0,42.93,0
10,Mafalda Costa Marques,Oscar CG,100,0,44.86,0,44.04,0
11,Álvaro González De Zárate,Ebane du Mesnil,50,0,46.18,0,44.29,0
12,Cayetano Martínez de Irujo,Dito,50,0,44.75,0,46.23,0
13,Kara Chad,Chicago,,1,47.48,0,47.31,1
14,Duarte Seabra,Fernhill Balou Beau,,0,43.69,4,34.46,4
15,Mario Peña Sánchez,Be Mylord de Glain,,0,43.67,4,36.77,4
16,Juan Riva Gil,Victoria d'Argent,,0,41.09,4,37.95,4
17,Pablo Santiago Artime,Tanka du Marais,,0,45.75,4,40.29,4
18,Emeric George,Gloria Mercoeur,,4,43.27,0,41.33,4
19,Castora Ortiz Agüera,Robinson,,0,41.44,4,41.93,4
20,Gerardo Menéndez Mieres,Coralou du Rouet PS,,0,44.82,4,43.37,4
21,Rikke Belinda Barker,Pico Hcc,,4,42.94,0,45.19,4
22,Luca Maria Moneta,Folie de Chalusse,,4,45.49,0,45.46,4
23,Leon Thijssen,Looking For You,,0,46.11,4,47.17,4
24,Jesús Garmendia Echevarría,Valut 2,,4,44.26,0,47.28,4
25,Pedro Veniss,Cs Hortencia,,4,44.75,0,47.62,4
26,Rodrigo Giesteira Almeida,Lisa,,0,44.25,8,33.61,8
27,Guillermo González Alonso,Nostradamus Vd Watertoren,,0,42.97,8,35.65,8
28,Derin Demirsoy,Hunter,,0,46.30,8,40.54,8
29,Mans Thijssen,Nero Z,,0,46.00,8,40.95,8
30,Alejandro Fernández Sánchez,Too Action de Buzalen,,4,42.69,4,41.91,8
31,Álvaro Díaz García,C-Star V/D Schelpenhoeve Z,,0,44.92,8,44.21,8
32,Elena Appendino,Pompei van de Fruitkorf,,4,44.33,4,44.58,8
33,Imma Roquet Autonell,Elba Del Maset,,4,46.30,4,46.73,8
34,Laura Renwick,Nfs Angelina,,0,43.12,10,51.03,10
35,Carolina Villanueva Suárez,Voice de Chenaie,,0,41.01,12,37.60,12
36,Agustí Sastre Caballero,Night Star,,0,44.29,12,39.18,12
37,Ana Carolina Sandoval Muñoz,Baral Wisconsin,,0,44.35,12,39.79,12
38,Alfons Roquet Puignero,Sandro Eclipse,,8,43.96,8,46.01,16
,Celia Cobo Terán,Kristal's Beauty B,,,,,,RET
,Roi Calviño Rabón,Enjoy,,,,,,RET
