Pos,Atleta,Caballo,Premio,Puntos,Tiempo
1,Olivia Alvarez García,Allkey Sr Z,500,0,63.84
2,Jules Orsolini,Ua Pou Island,400,0,65.51
3,Ana Carolina Sandoval Muñoz,Ricardo de W & S,300,0,65.76
4,Alejandro Fernandez Sanchez,Balthargos PS,200,0,65.77
5,Bertram Allen,Huricane de Champloue,140,0,65.84
6,Robert Whitaker,Strike A Pose,110,0,65.94
7,Fidel Davila Garcia,Arezzo de Llamosas,80,0,66.44
8,Imma Roquet Autonell,Dalia Del Maset,60,0,66.96
9,Ines Hernández Yanguas,Pop UP,60,0,69.38
10,Finn Boerekamp,Maestro G,50,0,71.40
11,Laura Roquet Puignero,Princess Puigroq,50,0,71.45
12,Leon Thijssen,Mic Mac,50,1,74.19
13,Santiago Nuñez Riva,Kilahuea de Capellan,,1,74.49
14,Harry Allen,Daredevil Z,,4,65.75
15,Rachel Mcmullen,Desperados,,4,67.38
16,Pablo Santiago Artime,Melectra,,4,67.93
17,Mans Thijssen,Nouveau Noir Evo,,4,68.34
18,Stanislas de Malet,Harold PS,,4,69.35
19,Jairo Junquera Perera,Illan de Maeza,,4,70.21
20,Alfons Roquet Puignero,Queila Puigroq,,4,71.39
21,Kara Chad,Udo,,5,74.13
22,Pello Elorduy Ibarzabal,Norton,,5,74.40
23,Álvaro González De Zarate,Cornets Esmeray PS,,5,74.64
24,Jesus Garmendia Echevarria,Charezzina SS,,8,69.99
25,Billy Twomey,Quick Ginger Della Caccia,,8,70.00
26,Gerardo Menendez Mieres,Candy Crush DC,,8,73.35
27,Sanne Thijssen,Katrin Wan,,12,71.22
28,Guillermo Gonzalez Alonso,Double R Emir,,20,81.25
,Alvaro Diaz Garcia,Luigi de Baudemont,,RET,
