Posición,Atleta,Caballo,Premio,Fase I Puntos,Fase I Tiempo,Fase II Puntos,Fase II Tiempo,Total
1,Jules Orsolini,Ua Pou Island,500,0,33.90,0,31.53,0
2,Imma Roquet Autonell,Dalia Del Maset,400,0,36.29,0,31.85,0
3,Alejandro Fernandez Sanchez,Balthargos PS,300,0,34.24,0,32.71,0
4,Robert Whitaker,Strike A Pose,200,0,37.83,0,32.96,0
5,Harry Allen,Daredevil Z,140,0,34.54,0,32.98,0
6,Álvaro González De Zarate,Cornets Esmeray PS,110,0,35.95,0,33.21,0
7,Ines Hernández Yanguas,Pop UP,80,0,34.50,0,34.61,0
8,Billy Twomey,Quick Ginger Della Caccia,60,0,36.01,0,35.15,0
9,Bertram Allen,Huricane de Champloue,60,0,38.02,0,35.41,0
10,Stanislas de Malet,Harold PS,50,0,36.41,0,35.42,0
11,Rachel Mcmullen,Desperados,50,0,34.43,0,37.53,0
12,Kara Chad,Udo,50,0,37.21,0,38.69,0
13,Leon Thijssen,Mic Mac,,0,37.65,0,39.58,0
14,Guillermo Gonzalez Alonso,Double R Emir,,0,34.10,4,31.52,4
15,Olivia Alvarez García,Allkey Sr Z,,0,34.77,4,33.25,4
16,Fidel Davila Garcia,Arezzo de Llamosas,,0,34.44,4,33.67,4
17,Jairo Junquera Perera,Illan de Maeza,,0,34.68,4,34.61,4
18,Pablo Santiago Artime,Melectra,,0,33.93,4,36.35,4
19,Finn Boerekamp,Maestro G,,0,36.17,4,36.49,4
20,Pello Elorduy Ibarzabal,Norton,,0,34.57,4,38.35,4
21,Sanne Thijssen,Katrin Wan,,0,35.44,4,38.65,4
22,Mans Thijssen,Nouveau Noir Evo,,0,37.23,4,39.39,4
23,Alfons Roquet Puignero,Queila Puigroq,,0,36.10,4,39.46,4
24,Santiago Nuñez Riva,Kilahuea de Capellan,,0,36.00,8,37.94,8
25,Alvaro Diaz Garcia,Luigi de Baudemont,,0,36.25,8,38.51,8
26,Laura Roquet Puignero,Princess Puigroq,,0,33.36,9,42.63,9
27,Ana Carolina Sandoval Muñoz,Ricardo de W & S,,14,51.11,0,36.49,14
28,Gerardo Menendez Mieres,Candy Crush DC,,0,34.89,16,39.05,16
29,Jesus Garmendia Echevarria,Charezzina SS,,0,33.41,26,55.34,26
