Posición,Atleta,Caballo,Premio,Puntos,Tiempo,Puntos Desempate,Tiempo Desempate
1,Harry Allen,Daredevil Z,1125,0,73.55,0,39.27
2,Fidel Davila Garcia,Arezzo de Llamosas,900,0,75.05,0,40.17
3,Mans Thijssen,Nouveau Noir Evo,675,0,79.09,0,41.95
4,Robert Whitaker,Strike A Pose,450,0,78.23,0,42.30
5,Finn Boerekamp,Maestro G,315,0,75.75,0,48.26
6,Imma Roquet Autonell,Dalia Del Maset,247.5,0,76.03,4,39.60
7,Laura Roquet Puignero,Princess Puigroq,180,0,76.11,4,42.64
8,Ines Hernández Yanguas,Pop UP,135,4,71.81,,
9,Olivia Alvarez García,Allkey Sr Z,135,4,74.44,,
10,Rachel Mcmullen,Desperados,112.5,4,76.53,,
11,Kara Chad,Udo,112.5,4,76.61,,
12,Álvaro González De Zarate,Cornets Esmeray PS,112.5,4,76.71,,
13,Alejandro Fernandez Sanchez,Balthargos PS,,4,77.87,,
14,Sanne Thijssen,Katrin Wan,,4,78.70,,
15,Santiago Nuñez Riva,Kilahuea de Capellan,,4,79.25,,
16,Stanislas de Malet,Harold PS,,4,79.48,,
17,Billy Twomey,Quick Ginger Della Caccia,,4,80.14,,
18,Jules Orsolini,Ua Pou Island,,8,74.50,,
19,Pablo Santiago Artime,Melectra,,8,74.84,,
20,Jairo Junquera Perera,Illan de Maeza,,8,75.18,,
21,Guillermo Gonzalez Alonso,Double R Emir,,8,78.45,,
22,Alfons Roquet Puignero,Queila Puigroq,,16,77.72,,
23,Bertram Allen,Huricane de Champloue,,17,93.22,,
24,Ana Carolina Sandoval Muñoz,Ricardo de W & S,,20,92.94,,
,Pello Elorduy Ibarzabal,Norton,,RET,,,
,Jesus Garmendia Echevarria,Charezzina SS,,RET,,,
