Posición,Atleta,Caballo,Premio,Puntos,Tiempo
1,Constant van Paesschen,Just Too Late d'Hof-Ten-Bos,9306,0,64.18
2,Julio Arias Cueva,Filou du Manoir,5640,0,64.54
3,Laura Renwick,Nfs Angelina,4230,0,64.88
4,Joe Fernyhough,Calcourt Countdown,2820,0,65.26
5,Roi Calviño Rabon,Enjoy,1692,0,65.58
6,Alex Codina Leria,London Blue,1269,0,66.03
7,William Fletcher,Persimmon,846,0,67.04
8,Luis Ortiz Agüera,Hvedholms Cashew,705,0,67.83
9,Derin Demirsoy,Hunter,564,0,68.99
10,Luca Maria Moneta,El Capone RK,564,0,69.30
11,Pedro Veniss,Cs Hortencia,282,0,69.98
12,Castora Ortiz Agüera,Robinson,282,0,70.15
13,Henk van de Pol,Only You de Kaluri,282,0,70.53
14,Alejandro Fernandez Sanchez,Too Action de Buzalen,,0,71.89
15,Alfons Roquet Puignero,Sandro Eclipse,,0,72.89
16,Nicolas Deseuzes,Drugster des Forets,,0,73.85
17,Rodrigo Giesteira Almeida,Sambuca,,0,74.20
18,Harry Allen,Kazelli VDL,,4,61.83
19,Emeric George,Gloria Mercoeur,,4,63.18
20,Leticia Riva Gil,Cadum de Champloue,,4,63.35
21,Abdullah Alsharbatly,Extra Strong,,4,63.60
22,Jesus Garmendia Echevarria,Valut 2,,4,64.95
23,Bertram Allen,Obsession DV,,4,65.42
24,Elena Appendino,Pompei van de Fruitkorf,,4,65.58
25,Juan Riva Gil,Victoria d'Argent,,4,66.63
26,Sanne Thijssen,Chiara Vdh,,4,66.78
27,Kara Chad,Corinna Z,,4,67.37
28,Jack Whitaker,Karamel de Mauretus Z,,4,69.32
29,Ines Hernández Yanguas,Nemo de Porceyo,,4,71.14
30,Guy Jonqueres D'Oriola,Aristo du Loir,,4,71.94
31,Mario Peña Sanchez,Be Mylord de Glain,,4,72.07
32,Finn Boerekamp,Kensington W,,4,73.79
33,Imma Roquet Autonell,Elba Del Maset,,4,75.23
34,Robert Whitaker,Forrests Rose Gold,,4,76.06
35,Cayetano Martinez De Irujo,Dito,,4,80.73
36,Rikke Belinda Barker,Pico Hcc,,6,83.29
37,Laura Roquet Puignero,Cricket,,8,68.34
38,James Arkins,Nightshade,,8,71.41
39,Mafalda Costa Marques,Oscar CG,,8,74.39
40,Gerardo Menendez Mieres,Coralou du Rouet PS,,8,75.12
41,Duarte Seabra,Geniale Star Kervec,,8,76.84
42,Mans Thijssen,Nero Z,,8,77.73
43,Alvaro Diaz Garcia,C-Star V/D Schelpenhoeve Z,,10,83.75
44,Jules Orsolini,Quaprice de Trebox,,12,78.72
45,Leon Thijssen,Looking For You,,12,79.30
46,Álvaro González De Zarate,Ebane du Mesnil,,14,83.88
47,Agusti Sastre Caballero,Night Star,,18,83.11
,Rachel Mcmullen,Italy Hdh,,RET,
,Guillermo Gonzalez Alonso,Nostradamus Vd Watertoren,,RET,
,Carolina Villanueva Suarez,Voice de Chenaie,,RET,
,Ana Carolina Sandoval Muñoz,Baral Wisconsin,,RET,
