Posición,Jinete,Caballo,Premio,Puntos,Tiempo
1,Elena Appendino,Grupo Prom Hacienda,990,0,56.15
2,Finn Boerekamp,Indence H.J.,600,0,57.62
3,Rodrigo Giesteira Almeida,Sambuca,450,0,58.85
4,Celia Cobo Teran,Loek,300,0,58.99
5,Luca Maria Moneta,El Capone RK,180,0,61.13
6,Carolina Villanueva Suarez,Emotion de l'Extase,135,0,62.56
7,Abdullah Alsharbatly,Atome des Etisses,90,0,62.75
8,Duarte Seabra,Geniale Star Kervec,75,0,63.34
9,Jose Bono Rodriguez,Santa Ana HT,60,0,63.93
10,Daniel Ocaña Sanchez,Furiazzo de l'Aubree,60,0,64.03
11,Teresa Arias Cueva,Brunch Jolivet,30,0,65.25
12,Juan Riva Gil,Eclat de Virton,30,0,66.36
13,Mans Thijssen,Chio Z,,0,67.56
14,Ana Carolina Sandoval Muñoz,Noblesse Nada R T,,0,67.72
15,Alex Codina Leria,London Blue,,0,67.94
16,Jesus Garmedia Echevarria,Caramel Blue PS,,0,68.12
17,Agusti Sastre Caballero,Le Chiffre,,0,71.41
18,Rikke Belinda Barker,Empire Sbk Z,,0,72.16
19,Robert Whitaker,Forrests  Rose Gold,,0,74.53
20,Leticia Riva Gil,Cadum de Champloue,,0,74.93
21,Deirdre Reilly,Pollin Van Zarrenlinde,,0,78.82
22,Pedro Veniss,Duelante 3k,,0,78.91
23,Gonzalo Menendez Menendez,Letaway de Sorribas,,4,60.24
24,Alfons Roquet Puignero,Carabinieri V Cascadella I,,4,60.28
25,Laura Roquet Puignero,Opie Dopie Puigroq,,4,70.05
26,Hannah Akerblom,Northern Convoy,,4,71.18
27,Luiz Ortiz Agüera,Vivant's Penny PS,,4,71.81
28,Álvaro González De Zárate,Hazzara Msg,,4,72.45
29,Sira Martinez Cullell,Guapa de Liam,,4,73.40
30,Diana Piera Salamero,Enora Tops,,4,73.67
31,Jairo Junquera Perera,Guy de Maeza,,8,64.62
32,Fidel Davila Garcia,Jahifa 17.23,,8,68.66
33,Sanne Thijssen,Make It Happen,,8,77.46
34,Leonardo Medal Rionda,Chic And GO,,12,56.30
35,Cayetano Martinez De Irujo,Dearest Diamond RS,,12,65.95
36,Roi Calviño Rabon,Cassina Z,,12,68.37
37,Julio Arias Cueva,Mona Lisa Van Dorperheide,,13,83.57
,Imma Roquet Autonell,Corisha Del Maset,,EL,
,Leon Thijssen,Epic,,EL,
,Micaela Alvarez Gutierrez,Cheese W Z,,EL,
,Miah Yolie Martinez Montiel,Conan de Taute,,RET,
