Posición,Atleta,Caballo,Premio (€),Puntos,Tiempo
1,Derin Demirsoy,Elzas,3300,0,64.74
2,Rodrigo Giesteira Almeida,d'Amerique van de Vlasrede Z,2000,0,65.92
3,Robert Whitaker,Chatondo,1500,0,68.20
4,Joe Fernyhough,Cancari V Z,1000,0,68.51
5,Finn Boerekamp,Parfait Vd Bisschop,600,0,68.67
6,Nicolas Deseuzes,Five Clairbois,450,0,69.47
7,Bertram Allen,Gary de Cerisy,300,0,70.15
8,Harry Allen,Calculatus,250,0,70.67
9,Ana Carolina Sandoval Muñoz,My Lord's Way,200,0,73.19
10,Luca Maria Moneta,Jolie Coeur d'Avril,200,0,74.52
11,Sira Martinez Cullell,Pipper des Vergers Z,100,0,76.08
12,Carolina Villanueva Suarez,Beau Goss d'Amour,100,0,78.04
13,Billy Twomey,Chat Botte E.D,,0,79.92
14,Carolina Aresu,Olympia van de Sint-Amandshoeve,,0,80.46
15,Mans Thijssen,Joviality,,0,82.83
16,Laura Renwick,Kosmos A,,4,65.71
17,Stanislas de Malet,Gramyco Sitte,,4,68.16
18,Emeric George,Gengis Kann de Londe,,4,68.21
19,Julio Arias Cueva,Dolce Vita des Ouches,,4,69.89
20,Álvaro González De Zarate,Najac vh Kluizebos,,4,72.73
21,Henk van de Pol,No Fathers Girl,,4,73.26
22,William Fletcher,Israel,,4,73.33
23,Pello Elorduy Ibarzabal,Flonflon,,4,73.52
24,Pedro Veniss,Kannans Breaker BR,,4,74.09
25,Guy Jonqueres D'Oriola,Adriano de Walyro,,4,74.44
26,Constant van Paesschen,Kannavara Z,,4,77.45
27,Cayetano Martinez De Irujo,Corazon K,,4,82.19
28,Duarte Seabra,Dourados 2,,4,82.24
29,Jesus Garmendia Echevarria,Callias,,8,70.32
30,Laura Roquet Puignero,Denis Z,,8,76.89
31,James Arkins,Quint Horta,,12,73.76
32,Leon Thijssen,Lechinto St Ghyvan Z,,12,79.73
33,Abdullah Alsharbatly,Boeckmanns Lord Pezi Junior,,34,112.26
,Jack Whitaker,Equine America Valmy de La Lande,,RET,
,Jules Orsolini,Ibrahim,,RET,
