Posición,Atleta,Caballo,Premio (€),Puntos,Tiempo
1,Olivia Alvarez García,Cartouche,990,65,49.54
2,Abdullah Alsharbatly,Extra Strong,600,65,49.64
3,Rikke Belinda Barker,Pico Hcc,450,65,50.70
4,Mafalda Costa Marques,Oscar CG,300,65,54.76
5,Jose Bono Rodriguez,Santa Ana HT,180,65,55.02
6,Agusti Sastre Caballero,Le Chiffre,135,65,55.19
7,Pedro Veniss,Duelante 3k,90,65,55.20
8,Kara Chad,Chicago,75,65,56.42
9,Cayetano Martinez De Irujo,Dearest Diamond RS,60,65,56.98
10,Hannah Åkerblom,Northern Convoy,60,65,57.09
11,Álvaro González De Zarate,Hazzara Msg,30,65,58.74
12,Laura Roquet Puignero,Opie Dopie Puigroq,30,65,59.15
13,Mans Thijssen,Chio Z,,65,62.92
14,Luca Maria Moneta,Folie de Chalusse,,64,58.89
15,Pablo Santiago Artime,Tanka du Marais,,63,65.42
16,Leon Thijssen,Epic,,58,59.09
17,Santiago Lambre,Chacco Blue II,,58,70.29
18,Rodrigo Giesteira Almeida,Lisa,,57,51.34
19,Finn Boerekamp,Indence H.J.,,56,47.68
20,Elena Appendino,Grupo Prom Hacienda,,56,49.20
21,Carolina Villanueva Suarez,Emotion de l'Extase,,56,50.62
22,Jesus Garmendia Echevarria,Caramel Blue PS,,56,51.88
23,Teresa Arias Cueva,Brunch Jolivet,,56,52.72
24,Fidel Davila Garcia,Jahifa 17.23,,52,66.73
25,Celia Cobo Teran,Loek,,50,51.69
26,Sira Martinez Cullell,Guapa de Liam,,48,61.21
27,Ana Carolina Sandoval Muñoz,Noblesse Nada R T,,48,63.73
28,Leonardo Medal Rionda,Chic And GO,,25,48.22
29,Alfons Roquet Puignero,Carabinieri V Cascadella I,,25,49.46
30,Juan Riva Gil,Eclat de Virton,,25,60.20
31,Imma Roquet Autonell,Corisha Del Maset,,25,62.33
32,Micaela Alvarez Gutierrez,Cheese W Z,,23,61.15
33,Sanne Thijssen,Make It Happen,,21,67.32
34,Daniel Ocaña Sanchez,Furiazzo de l'Aubree,,18,52.57
35,Roi Calviño Rabon,Cassina Z,,16,52.57
36,Miah Yolie Martinez Montiel,Conan de Taute,,EL,
37,Gonzalo Menendez Menendez,Letaway de Sorribas,,EL,
