Posición,Atleta,Caballo,Premio (€),Fase I Puntos,Fase I Tiempo,Fase II Puntos,Fase II Tiempo,Total
1,Emeric George,Dune du RU,18744,0,41.91,0,28.72,0
2,Santiago Lambre,Zeusz,11360,0,41.25,0,28.79,0
3,Laura Renwick,Enjoy Ck Z,8520,0,41.68,0,29.24,0
4,Billy Twomey,Ace Of Hearts Z,5680,0,40.93,0,29.58,0
5,Kara Chad,Igor Gph,3408,0,40.86,0,29.86,0
6,Jesus Garmendia Echevarria,Sandano 2,2556,0,41.33,0,30.20,0
7,Jack Whitaker,Lente,1704,0,43.32,0,30.56,0
8,Alex Codina Leria,Notis,1420,0,43.06,0,30.64,0
9,Stanislas de Malet,Zambo M Z,1136,0,43.09,0,30.73,0
10,Robert Whitaker,Vermento,1136,0,41.45,0,30.81,0
11,Duarte Seabra,Van Halen Z,568,0,42.72,0,31.87,0
12,Hannah Åkerblom,Chodec,568,0,39.33,0,32.03,0
13,Finn Boerekamp,Iceman Elrite,,0,40.74,0,34.76,0
14,Sanne Thijssen,Jelte DD,,0,43.31,0,35.18,0
15,Leon Thijssen,Faithless Mvdl,,0,40.38,0,35.28,0
16,Deirdre Reilly,Derryglen Othello,,0,42.03,0,36.57,0
17,Constant van Paesschen,Diaz du Thot,,0,39.80,4,28.79,4
18,Luciana Diniz,Vertigo du Desert,,0,41.77,4,29.48,4
19,Álvaro González De Zarate,Casa Diva PS,,0,39.94,4,31.32,4
20,Julio Arias Cueva,Peanuts Van Baublo,,0,40.86,4,31.54,4
21,Rodrigo Giesteira Almeida,Karonia.L,,0,41.38,4,31.97,4
22,Nicolas Deseuzes,Falco du Loing,,0,40.29,4,33.92,4
23,Imma Roquet Autonell,Ivettus Del Maset,,0,39.24,4,35.88,4
24,William Fletcher,Iwalinde,,0,39.70,4,36.08,4
25,Luca Maria Moneta,Knock Out,,0,42.27,4,36.55,4
26,Jose Bono Rodriguez,Ali Baba HT,,4,40.25,0,36.73,4
27,Harry Allen,Lukaku Vd Bisschop,,4,40.80,1,39.07,5
28,James Arkins,Rosthwaite Cover Girl,,0,37.69,8,30.43,8
29,Jules Orsolini,Charlotte 198,,0,40.86,8,34.75,8
30,Derin Demirsoy,O-Kannarock,,4,41.73,4,35.52,8
31,Joe Fernyhough,Calcourt Particle,,4,42.27,4,42.07,8
32,Pello Elorduy Ibarzabal,Champenoise de Rampan,,0,40.20,12,37.30,12
33,Sira Martinez Cullell,Texas,,4,41.76,9,39.78,13
34,Carolina Aresu,Effixe du Melnire,,0,43.78,17,43.95,17
35,Bertram Allen,Caprisco,,0,42.14,18,52.98,18
36,Laura Roquet Puignero,Nina Puigroq,,0,40.74,20,54.39,20
37,Mans Thijssen,Zeppelin Blue,,6,45.58,17,43.74,23
38,Carolina Villanueva Suarez,Levisto,,17,44.11,8,42.58,25
39,Henk van de Pol,B Captain Norman,,4,43.07,48,78.96,52
