Posición,Atleta,Caballo,Premio,Puntos,Tiempo
1,Kara Chad,Igor Gph,9306,0,65.19
2,Bertram Allen,Gary de Cerisy,5640,0,67.62
3,Julio Arias Cueva,Dolce Vita des Ouches,4230,0,69.13
4,Jesus Garmendia Echevarria,Sandano 2,2820,0,69.90
5,William Fletcher,Israel,1692,0,70.93
6,Pedro Veniss,Kannans Breaker BR,1269,0,71.44
7,Mans Thijssen,Zeppelin Blue,846,0,71.83
8,James Arkins,Quint Horta,705,0,73.49
9,Deirdre Reilly,Derryglen Othello,564,0,74.10
10,Sira Martinez Cullell,Pipper des Vergers Z,564,0,75.19
11,Carolina Villanueva Suarez,Beau Goss d'Amour,282,0,75.97
12,Santiago Lambre,Zeusz,282,4,63.49
13,Pello Elorduy Ibarzabal,Champenoise de Rampan,,4,67.49
14,Billy Twomey,Chat Botte E.D,,4,67.67
15,Abdullah Alsharbatly,Boeckmanns Lord Pezi Junior,,4,67.99
16,Derin Demirsoy,Elzas,,4,68.08
17,Laura Renwick,Kosmos A,,4,68.39
18,Luca Maria Moneta,Knock Out,,4,69.06
19,Henk van de Pol,No Fathers Girl,,4,69.16
20,Luciana Diniz,Clair de Lune 11,,4,70.14
21,Guy Jonqueres D'Oriola,Adriano de Walyro,,5,83.42
22,Sanne Thijssen,Jelte DD,,6,80.47
23,Carolina Aresu,Olympia van de Sint-Amandshoeve,,7,81.81
24,Rodrigo Giesteira Almeida,d'Amerique van de Vlasrede Z,,8,70.62
25,Joe Fernyhough,Cancari V Z,,8,73.34
26,Nicolas Deseuzes,Five Clairbois,,12,70.91
27,Finn Boerekamp,Iceman Elrite,,17,87.45
,Jules Orsolini,Ibrahim,,RET,
,Leon Thijssen,Lechinto St Ghyvan Z,,RET,
,Stanislas de Malet,Gramyco Sitte,,RET,
,Duarte Seabra,Van Halen Z,,RET,
,Constant van Paesschen,Kannavara Z,,RET,
,Robert Whitaker,Chatondo,,RET,
