Posición,Atleta,Caballo,Premio (€),Fase I Puntos,Fase I Tiempo,Fase II Puntos,Fase II Tiempo,Total
1,Leonardo Medal Rionda,Chic And GO,990,0,42.42,0,29.10,0
2,Alfons Roquet Puignero,Carabinieri V Cascadella I,600,0,43.85,0,29.61,0
3,Rodrigo Giesteira Almeida,Lisa,450,0,43.68,0,29.93,0
4,Luis Ortiz Agüera,Vivant's Penny PS,300,0,42.70,0,30.41,0
5,Jesús Garmendia Echevarria,Caramel Blue PS,180,0,43.87,0,31.09,0
6,Olivia Álvarez García,Cartouche,135,0,42.39,0,31.41,0
7,Abdullah Alsharbatly,Atome des Etisses,90,0,43.78,0,32.12,0
8,Roi Calviño Rabón,Cassina Z,75,0,41.97,0,32.32,0
9,Henk van de Pol,Only You de Kaluri,60,0,43.47,0,32.76,0
10,Robert Whitaker,Forrests Rose Gold,60,0,44.57,0,33.07,0
11,Pedro Veniss,Duelante 3k,30,0,44.45,0,33.18,0
12,Duarte Seabra,Geniale Star Kervec,30,0,42.90,0,33.47,0
13,Laura Roquet Puignero,Opie Dopie Puigroq,30,0,44.19,0,33.62,0
14,Harry Allen,Kazelli VDL,,0,44.01,0,33.81,0
15,Cayetano Martínez de Irujo,Dearest Diamond RS,,0,45.57,0,34.00,0
16,Kara Chad,Corinna Z,,0,46.00,0,34.03,0
16,Carolina Villanueva Suárez,Emotion de l'Extase,,0,42.38,0,34.03,0
18,Mans Thijssen,Nero Z,,0,43.90,0,34.36,0
19,Juan Riva Gil,Eclat de Virton,,0,43.48,0,34.43,0
20,Agustí Sastre Caballero,Le Chiffre,,0,43.82,0,34.91,0
21,Rikke Belinda Barker,Empire Sbk Z,,0,43.31,0,36.65,0
22,Jack Whitaker,Karamel de Mauretus Z,,0,46.94,0,36.76,0
23,Álvaro González de Zárate,Hazzara Msg,,0,44.49,0,38.69,0
24,Mafalda Costa Marques,Iniesta P.,,0,44.13,0,38.80,0
25,Rachel McMullen,Italy Hdh,,0,43.95,0,39.24,0
26,Imma Roquet Autonell,Corisha del Maset,,0,46.38,0,41.94,0
27,Constant van Paesschen,Just Too Late d'Hof-Ten-Bos,,0,44.98,0,43.16,0
28,Deirdre Reilly,Pollin Van Zarrenlinde,,0,46.25,1,45.93,1
29,Fidel Dávila García,Jahifa 17.23,,0,42.30,4,30.64,4
30,Jules Orsolini,Quaprice de Trebox,,0,43.64,4,31.82,4
31,James Arkins,Nightshade,,4,44.29,0,32.73,4
32,Teresa Arias Cueva,Brunch Jolivet,,4,40.68,0,33.69,4
33,Bertram Allen,Obsession DV,,0,44.16,4,34.14,4
34,Elena Appendino,Grupo Prom Hacienda,,0,40.74,4,36.14,4
35,Nicolas Deseuzes,Drugster des Forets,,4,46.31,0,39.48,4
36,Micaela Álvarez Gutiérrez,Cheese W Z,,0,43.00,4,40.78,4
37,Luca Maria Moneta,Folie de Chalusse,,4,46.90,0,42.62,4
38,Leon Thijssen,Epic,,0,43.18,4,44.42,4
39,Finn Boerekamp,Indence H.J.,,8,45.11,0,34.81,8
40,Sira Martínez Cullell,Guapa de Liam,,0,44.02,8,37.42,8
41,José Bono Rodríguez,Santa Ana HT,,8,43.49,0,38.84,8
42,Ana Carolina Sandoval Muñoz,Noblesse Nada R T,,5,48.70,4,40.11,9
43,Daniel Ocaña Sánchez,Furiazzo de l'Aubree,,12,51.61,0,40.30,12
44,Sanne Thijssen,Make It Happen,,0,45.01,12,42.68,12
45,Hannah Åkerblom,Northern Convoy,,4,45.13,8,44.29,12
46,Miah Yolie Martínez Montiel,Conan de Taute,,0,43.99,24,60.12,24
,Gonzalo Menéndez Menéndez,Letaway de Sorribas,,,,,,RET
,Julio Arias Cueva,Mona Lisa Van Dorperheide,,,,,,RET
,Celia Cobo Terán,Kristal's Beauty B,,,,,,EL
