Posición,Atleta,Caballo,Premio (€),Fase I Puntos,Fase I Tiempo,Fase II Puntos,Fase II Tiempo,Total
1,Henk van de Pol,No Fathers Girl,1650,0,37.13,0,32.64,0
2,Abdullah Alsharbatly,Ermindo W,1000,0,37.89,0,32.94,0
3,Joe Fernyhough,Cancari V Z,750,0,37.60,0,33.54,0
4,Laura Renwick,Enjoy Ck Z,500,0,37.93,0,34.23,0
5,Jose Bono Rodriguez,Ali Baba HT,300,0,37.53,0,35.79,0
6,Duarte Seabra,Van Halen Z,225,0,38.81,0,36.00,0
7,Robert Whitaker,Chatondo,150,0,38.65,0,36.65,0
8,Luciana Diniz,Clair de Lune 11,125,0,39.52,0,36.74,0
9,Harry Allen,Calculatus,100,0,37.62,0,38.29,0
10,William Fletcher,Iwalinde,100,0,37.61,0,38.89,0
11,Alex Codina Leria,Notis,50,0,38.23,0,39.56,0
12,Rikke Belinda Barker,Tabalou PS,50,0,37.41,0,40.51,0
13,Santiago Nuñez Riva,Chakira Z,,0,37.80,0,42.10,0
14,Cayetano Martinez De Irujo,Corazon K,,0,38.82,0,42.93,0
15,Deirdre Reilly,Kafka Vd Heffinck,,0,38.72,0,44.03,0
16,Bertram Allen,Caprisco,,1,42.08,1,38.09,1
17,Pedro Veniss,Nimrod de Muze Imperio Egipcio,,0,40.39,1,45.45,1
18,Jules Orsolini,Ibrahim,,0,35.31,4,34.75,4
19,Jesus Garmendia Echevarria,Sandano 2,,0,38.52,4,35.28,4
20,Luca Maria Moneta,Knock Out,,0,36.52,4,36.06,4
21,Álvaro González De Zarate,Casa Diva PS,,0,37.88,4,37.65,4
22,Carolina Villanueva Suarez,Beau Goss d'Amour,,0,35.00,4,39.92,4
23,Sira Martinez Cullell,Texas,,0,37.35,4,40.23,4
24,Laura Roquet Puignero,Nina Puigroq,,4,37.71,0,40.73,4
25,Jack Whitaker,Lente,,4,40.27,0,41.44,4
26,Billy Twomey,Ace Of Hearts Z,,0,37.61,4,43.75,4
27,Leon Thijssen,Faithless Mvdl,,0,37.75,8,40.00,8
28,Carolina Aresu,Olympia van de Sint-Amandshoeve,,4,39.47,4,40.83,8
29,Finn Boerekamp,Iceman Elrite,,5,42.39,4,43.14,9
30,Julio Arias Cueva,Peanuts Van Baublo,,0,38.54,10,50.78,10
31,Nicolas Deseuzes,Five Clairbois,,0,36.75,12,40.63,12
32,Pello Elorduy Ibarzabal,Flonflon,,8,39.42,8,43.29,16
33,Guy Jonqueres D'Oriola,Adriano de Walyro,,4,38.09,18,54.82,22
,Sanne Thijssen,Jelte DD,,,,,,RET
,James Arkins,Quint Horta,,,,,,RET
,Santiago Lambre,Corina Blue,,,,,,RET
,Mans Thijssen,Joviality,,,,,,RET
