Posición,Atleta,Caballo,Premio,Fase I Puntos,Fase I Tiempo,Fase II Puntos,Fase II Tiempo,Total
1,Álvaro González De Zarate,Casa Diva PS,9735,0,76.60,0,43.54,0
2,Harry Allen,Lukaku Vd Bisschop,5900,0,77.00,0,44.02,0
3,Pello Elorduy Ibarzabal,Champenoise de Rampan,4425,4,74.98,0,45.63,4
4,Laura Renwick,Kosmos A,2950,4,74.32,0,46.13,4
5,Rodrigo Giesteira Almeida,d'Amerique van de Vlasrede Z,1770,4,75.94,0,47.13,4
6,Duarte Seabra,Van Halen Z,"1327,5",1,79.90,0,48.21,1
7,Henk van de Pol,B Captain Norman,885,3,81.27,0,53.13,3
8,Derin Demirsoy,Elzas,"737,5",0,74.51,4,45.80,4
9,Laura Roquet Puignero,Nina Puigroq,590,0,73.23,4,46.49,4
10,Santiago Lambre,Zeusz,590,0,77.04,4,47.16,4
11,Pedro Veniss,Kannans Breaker BR,295,4,75.37,4,50.29,8
12,Jules Orsolini,Ibrahim,295,4,73.23,EL,
13,Jack Whitaker,Lente,,4,77.19,,
14,Julio Arias Cueva,Dolce Vita des Ouches,,4,78.98,,
15,Stanislas de Malet,Gramyco Sitte,,5,79.58,,
16,Bertram Allen,Gary de Cerisy,,6,80.96,,
17,Joe Fernyhough,Cancari V Z,,8,76.70,,
17,Mans Thijssen,Zeppelin Blue,,8,76.70,,
19,Luca Maria Moneta,Knock Out,,10,80.18,,
20,Abdullah Alsharbatly,Boeckmanns Lord Pezi Junior,,11,85.44,,
21,Finn Boerekamp,Iceman Elrite,,12,77.91,,
22,Carolina Aresu,Effixe du Melnire,,13,83.52,,
,Guy Jonqueres D'Oriola,Adriano de Walyro,,RET,,,
,Leon Thijssen,Lechinto St Ghyvan Z,,RET,,,
,Sanne Thijssen,Jelte DD,,RET,,,
,William Fletcher,Israel,,RET,,,
